pseudoID,factor_1,factor_2,factor_2a,factor_3,factor_4,factor_5,factor_5a,factor_6,factor_7,factor_8,factor_9,allRaces,race,sex,psa_court_case_eligible_booking,psa_outcome_eligible,fta_points,nca_points,nvca_points,fta_score,nca_score,nvca_score,nvca_flag,fta,nca,nvca,time_at_risk_fta,time_at_risk_nca,time_at_risk_nvca_new,race1,sex1,release
8390361825,0,0,0,1,1,1,1,2,1,1,1,Black,Non-white,Male,1,Detained,5,9,3,5,6,3,0,,,,,,,0,1,0
7980788183,0,0,0,0,1,0,1,0,2,1,1,Black,Non-white,Female,1,Detained,6,5,1,5,4,1,0,,,,,,,0,0,0
7122789587,0,0,0,1,0,0,0,0,1,0,0,Black,Non-white,Male,1,Released,3,4,1,4,3,1,0,0.0,1.0,0.0,486.0,203.0,486.0,0,1,1
3931093025,0,0,0,0,1,1,1,1,0,1,1,Black,Non-white,Male,1,Released,2,5,2,3,4,2,0,0.0,0.0,0.0,51.0,51.0,51.0,0,1,1
2955262960,0,0,0,0,0,0,0,0,2,0,0,Black,Non-white,Female,1,Released,4,2,0,4,2,1,0,0.0,0.0,0.0,226.0,226.0,226.0,0,0,1
918797798,0,0,0,1,1,1,1,0,1,1,1,Black,Non-white,Male,1,Detained,5,8,2,5,5,2,0,,,,,,,0,1,0
5203209924,0,1,0,1,1,1,1,0,0,1,0,White,White,Male,1,Detained,3,5,4,4,4,4,1,,,,,,,1,1,0
361219402,1,0,0,1,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,1,5,1,2,4,1,0,0.0,0.0,0.0,37.0,37.0,37.0,0,1,1
5499945888,1,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,2,0,1,2,1,0,0.0,0.0,0.0,,,,0,0,1
4640509726,0,0,0,0,1,1,1,0,0,1,0,Other,Non-white,Male,1,Released,2,2,1,3,2,1,0,0.0,0.0,0.0,38.0,38.0,38.0,0,1,1
7973380916,1,0,0,0,1,0,1,0,0,0,0,Black,Non-white,Male,1,Released,1,3,1,2,3,1,0,0.0,1.0,1.0,146.0,83.0,83.0,0,1,1
5030924025,0,0,0,0,1,0,1,0,2,0,0,Black,Non-white,Male,1,Released,5,3,1,5,3,1,0,0.0,0.0,0.0,389.0,389.0,389.0,0,1,1
760991845,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,455.0,455.0,455.0,0,0,1
3897622943,0,0,0,0,0,0,0,0,0,0,0,White,White,Female,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,205.0,205.0,205.0,1,0,1
738296598,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,0,0,1,1,1,0,0.0,0.0,0.0,3.0,3.0,3.0,0,0,1
2284142845,0,0,0,0,0,0,0,0,1,0,0,White,White,Female,1,Released,2,1,0,3,2,1,0,0.0,0.0,0.0,225.0,225.0,225.0,1,0,1
8308387983,0,0,0,0,0,0,0,0,1,0,0,Black,Non-white,Female,1,Released,2,1,0,3,2,1,0,0.0,0.0,0.0,539.0,539.0,539.0,0,0,1
2198031867,0,0,0,0,1,0,1,0,2,0,0,Black,Non-white,Male,1,Released,5,3,1,5,3,1,0,0.0,0.0,0.0,539.0,539.0,539.0,0,1,1
343622805,0,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,0,0,1,1,1,0,,,,,,,0,1,0
8944956439,1,1,1,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,2,3,1,2,3,0,,,,,,,0,1,0
1131934261,1,0,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,0,2,0,1,2,1,0,,,,,,,0,1,0
8760770589,0,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Male,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,,,,0,1,1
4907721109,0,0,0,1,0,0,0,0,0,0,0,Black,Non-white,Male,1,Detained,1,3,1,2,3,1,0,,,,,,,0,1,0
8678009468,0,1,0,0,0,0,0,0,0,0,0,White,White,Female,1,Released,0,0,2,1,1,2,0,0.0,0.0,0.0,539.0,539.0,539.0,1,0,1
7303718781,0,0,0,0,1,1,1,0,0,0,1,Black,Non-white,Male,1,Released,1,4,1,2,3,1,0,0.0,0.0,0.0,217.0,217.0,217.0,0,1,1
8867465197,1,1,0,0,0,0,0,0,0,0,0,Black,Non-white,Female,1,Released,0,2,2,1,2,2,0,0.0,0.0,0.0,539.0,539.0,539.0,0,0,1
2851533447,0,1,0,0,1,0,1,0,0,0,0,White,White,Male,1,Released,1,1,3,2,2,3,0,0.0,0.0,0.0,102.0,102.0,102.0,1,1,1
4050992416,0,1,0,0,1,1,1,1,0,0,0,Black,Non-white,Male,1,Released,1,3,4,2,3,4,1,0.0,0.0,0.0,222.0,222.0,222.0,0,1,1
1025226324,0,1,0,0,1,0,1,0,2,1,1,Black,Non-white,Male,1,Detained,6,5,3,5,4,3,0,,,,,,,0,1,0
1353003324,0,1,0,0,0,1,1,0,0,0,0,Black,Non-white,Male,1,Detained,1,1,3,2,2,3,0,,,,,,,0,1,0
